RSPO,TERYT,Rural county,Urban county,Rural territory,City,Revenue per person,Website,Start date,Students,Sport venues,German or French,Logopedist,Psychologist,Pedagogue,Participants in English,Avg. score in English
23295,1018062,1,0,0,0,5964.48,1,1997-09-01,189,0,1,0,0,1,21,58
23341,1018062,1,0,0,0,5964.48,1,1946-09-01,82,0,1,0,0,1,15,46
63995,1018052,1,0,0,0,5768.24,1,1934-09-01,121,0,1,0,0,1,11,43
88280,1019032,1,0,0,0,5444.62,1,1980-09-01,379,1,1,1,0,1,39,61
27634,1019011,0,1,0,0,4517.57,1,1963-09-01,366,1,0,1,0,1,43,81
28750,1019011,0,1,0,0,4517.57,1,1945-01-01,333,1,1,0,1,1,54,67
30659,1019011,0,1,0,0,4517.57,1,1961-09-01,609,0,1,0,0,0,70,70
30882,1019011,0,1,0,0,4517.57,1,1966-09-01,403,0,1,0,1,1,52,71
31011,1019011,0,1,0,0,4517.57,1,1964-09-01,249,1,1,1,1,1,25,47
35367,1019011,0,1,0,0,4517.57,1,1961-02-06,351,1,1,1,0,1,40,62
39224,1019011,0,1,0,0,4517.57,1,1963-09-01,469,1,0,1,1,1,54,53
262326,1019011,0,1,0,0,4517.57,1,2017-09-01,389,1,1,0,0,1,24,84
262327,1019011,0,1,0,0,4517.57,1,2017-09-01,248,1,1,0,0,0,20,75
26062,1019042,1,0,0,0,5311.44,0,1918-09-01,106,1,0,1,0,1,12,56
29218,1019042,1,0,0,0,5311.44,0,1938-09-01,164,1,1,0,0,1,16,65
29308,1019042,1,0,0,0,5311.44,0,1919-08-27,177,1,1,0,0,1,19,46
29365,1019042,1,0,0,0,5311.44,1,1950-09-01,229,1,1,1,1,1,12,79
49988,1019042,1,0,0,0,5311.44,1,1932-09-01,332,1,0,0,0,1,35,70
68025,1019042,1,0,0,0,5311.44,1,1963-09-01,288,0,1,1,0,1,33,71
70645,1020011,0,1,0,0,4562.56,0,1945-09-01,382,1,0,0,0,1,29,71
70712,1020011,0,1,0,0,4562.56,0,1948-09-01,368,1,1,0,0,1,30,77
70716,1020011,0,1,0,0,4562.56,1,1935-10-29,411,1,1,1,0,1,42,77
119323,1020052,1,0,0,0,5142.33,1,1895-11-01,91,0,1,0,0,1,15,57
119329,1020052,1,0,0,0,5142.33,1,1947-09-02,123,0,1,1,0,1,12,53
87764,1020021,0,1,0,0,5194.08,1,1958-10-23,464,1,1,1,1,1,80,67
89574,1020021,0,1,0,0,5194.08,1,1923-09-01,459,1,1,1,1,1,61,65
262444,1020021,0,1,0,0,5194.08,1,2017-09-01,623,1,1,1,1,1,16,62
21815,1020062,1,0,0,0,5367.97,1,1999-09-01,202,1,1,1,1,0,36,53
